--- Quran Word Frequency Analysis ---
Source: d:\Corporate Identity\Branding Assets\quran\quran_universal.parquet
Total Words Count: 82,456
Unique Words Count: 15,776

Top Frequent Words:
Rank   | Word                 | Count      | Frequency 
189    | للناس                | 51         | 0.0619%
190    | كنت                  | 51         | 0.0619%
191    | ارسلنا               | 51         | 0.0619%
192    | لقومۢ                | 49         | 0.0594%
193    | تجري                 | 48         | 0.0582%
194    | عليها                | 48         | 0.0582%
195    | الدين                | 47         | 0.0570%
196    | هي                   | 47         | 0.0570%
197    | عما                  | 47         | 0.0570%
198    | ليس                  | 47         | 0.0570%
199    | ولم                  | 47         | 0.0570%
200    | يومئذۢ               | 47         | 0.0570%
201    | فاو۟لئك              | 46         | 0.0558%
202    | رحيمۭ                | 46         | 0.0558%
203    | غفورۭ                | 46         | 0.0558%
204    | جعل                  | 45         | 0.0546%
205    | وانتم                | 45         | 0.0546%
206    | افلا                 | 45         | 0.0546%
207    | انكم                 | 45         | 0.0546%
208    | الرسول               | 45         | 0.0546%
209    | كثيرۭا               | 44         | 0.0534%
210    | قليلۭا               | 44         | 0.0534%
211    | ذلكم                 | 44         | 0.0534%
212    | ويوم                 | 44         | 0.0534%
213    | يهدي                 | 44         | 0.0534%
214    | خلدين                | 44         | 0.0534%
215    | انا۠                 | 44         | 0.0534%
216    | ولهم                 | 43         | 0.0521%
217    | الانهر               | 43         | 0.0521%
218    | يقوم                 | 43         | 0.0521%
219    | وانا                 | 43         | 0.0521%
220    | وقد                  | 43         | 0.0521%
221    | كتب                  | 43         | 0.0521%
222    | اهل                  | 43         | 0.0521%
223    | القرءان              | 43         | 0.0521%
224    | كذبوا۟               | 43         | 0.0521%
225    | ابرهيم               | 43         | 0.0521%
226    | قوم                  | 43         | 0.0521%
227    | الحكيم               | 42         | 0.0509%
228    | ربهۦ                 | 42         | 0.0509%
229    | اسرءيل               | 42         | 0.0509%
230    | واتقوا۟              | 42         | 0.0509%
231    | ظلموا۟               | 42         | 0.0509%
232    | مثل                  | 42         | 0.0509%
233    | ورسولهۥ              | 42         | 0.0509%
234    | بهم                  | 41         | 0.0497%
235    | فهم                  | 41         | 0.0497%
236    | واما                 | 41         | 0.0497%
237    | هؤلاء                | 41         | 0.0497%
238    | بغير                 | 41         | 0.0497%
239    | جاءهم                | 41         | 0.0497%
240    | لها                  | 41         | 0.0497%
241    | لعلهم                | 41         | 0.0497%
242    | اليوم                | 41         | 0.0497%
243    | عليمۭ                | 40         | 0.0485%
244    | اليهم                | 40         | 0.0485%
245    | وعلي                 | 39         | 0.0473%
246    | يقول                 | 39         | 0.0473%
247    | يحب                  | 39         | 0.0473%
248    | الملئكه              | 38         | 0.0461%
249    | انفسكم               | 38         | 0.0461%
250    | اكثرهم               | 38         | 0.0461%
251    | لولا                 | 38         | 0.0461%
252    | وكذلك                | 38         | 0.0461%
253    | يريد                 | 38         | 0.0461%
254    | وعد                  | 38         | 0.0461%
255    | بكم                  | 37         | 0.0449%
256    | جنتۢ                 | 37         | 0.0449%
257    | وانهۥ                | 37         | 0.0449%
258    | عنه                  | 37         | 0.0449%
259    | وجعلنا               | 37         | 0.0449%
260    | تحتها                | 36         | 0.0437%
261    | جميعۭا               | 36         | 0.0437%
262    | خير                  | 36         | 0.0437%
263    | العظيم               | 36         | 0.0437%
264    | دونهۦ                | 36         | 0.0437%
265    | الموت                | 35         | 0.0424%
266    | وكانوا۟              | 35         | 0.0424%
267    | يكون                 | 35         | 0.0424%
268    | ءايت                 | 35         | 0.0424%
269    | اولم                 | 35         | 0.0424%
270    | الساعه               | 35         | 0.0424%
271    | فباي                 | 35         | 0.0424%
272    | قيل                  | 34         | 0.0412%
273    | امر                  | 34         | 0.0412%
274    | وفي                  | 34         | 0.0412%
275    | بايت                 | 34         | 0.0412%
276    | مؤمنين               | 34         | 0.0412%
277    | خيرۭا                | 34         | 0.0412%
278    | عليم                 | 34         | 0.0412%
279    | اولياء               | 34         | 0.0412%
280    | كلا                  | 34         | 0.0412%
281    | ءالاء                | 34         | 0.0412%
282    | قبلك                 | 33         | 0.0400%
283    | بكل                  | 33         | 0.0400%
284    | بعضهم                | 33         | 0.0400%
285    | ايديهم               | 33         | 0.0400%
286    | ولئن                 | 33         | 0.0400%
287    | منا                  | 33         | 0.0400%
288    | له                   | 33         | 0.0400%
289    | مبينۭ                | 33         | 0.0400%
290    | رسول                 | 33         | 0.0400%
291    | ربكما                | 33         | 0.0400%
292    | العليم               | 32         | 0.0388%
293    | صلحۭا                | 32         | 0.0388%
294    | ولما                 | 32         | 0.0388%
295    | عليمۢ                | 32         | 0.0388%
296    | اوتوا۟               | 32         | 0.0388%
297    | احسن                 | 32         | 0.0388%
298    | ءايتنا               | 32         | 0.0388%
299    | يكن                  | 32         | 0.0388%
300    | الامر                | 32         | 0.0388%
301    | اليكم                | 32         | 0.0388%
302    | الاولين              | 32         | 0.0388%
303    | ءامنا                | 31         | 0.0376%
304    | صدقين                | 31         | 0.0376%
305    | بعضۢ                 | 31         | 0.0376%
306    | بني                  | 31         | 0.0376%
307    | ممن                  | 31         | 0.0376%
308    | الءايت               | 31         | 0.0376%
309    | معهۥ                 | 31         | 0.0376%
310    | تر                   | 31         | 0.0376%
311    | اكثر                 | 31         | 0.0376%
312    | بينهما               | 31         | 0.0376%
313    | تكذبان               | 31         | 0.0376%
314    | المحسنين             | 30         | 0.0364%
315    | فانما                | 30         | 0.0364%
316    | ءايهۭ                | 30         | 0.0364%
317    | والي                 | 30         | 0.0364%
318    | بعض                  | 30         | 0.0364%
319    | النبي                | 30         | 0.0364%
320    | الءاخر               | 29         | 0.0352%
321    | فاما                 | 29         | 0.0352%
322    | حيث                  | 29         | 0.0352%
323    | عذابۭ                | 29         | 0.0352%
324    | ربهۥ                 | 29         | 0.0352%
325    | جعلنا                | 29         | 0.0352%
326    | به                   | 29         | 0.0352%
327    | لفي                  | 29         | 0.0352%
328    | بينكم                | 29         | 0.0352%
329    | اتقوا۟               | 29         | 0.0352%
330    | قالت                 | 29         | 0.0352%
331    | وجعل                 | 29         | 0.0352%
332    | يظلمون               | 28         | 0.0340%
333    | اشد                  | 28         | 0.0340%
334    | ابن                  | 28         | 0.0340%
335    | مريم                 | 28         | 0.0340%
336    | كانت                 | 28         | 0.0340%
337    | اليمۭ                | 28         | 0.0340%
338    | السبيل               | 28         | 0.0340%
339    | تلك                  | 28         | 0.0340%
340    | العلم                | 28         | 0.0340%
341    | لءايتۢ               | 28         | 0.0340%
342    | فهو                  | 28         | 0.0340%
343    | الملك                | 28         | 0.0340%
344    | الغيب                | 28         | 0.0340%
345    | ويقولون              | 28         | 0.0340%
346    | القول                | 28         | 0.0340%
347    | ملك                  | 27         | 0.0327%
348    | ءامن                 | 27         | 0.0327%
349    | فقال                 | 27         | 0.0327%
350    | فضل                  | 27         | 0.0327%
351    | ولله                 | 27         | 0.0327%
352    | اعملهم               | 27         | 0.0327%
353    | يدعون                | 27         | 0.0327%
354    | اجر                  | 27         | 0.0327%
355    | عقبه                 | 27         | 0.0327%
356    | لئن                  | 27         | 0.0327%
357    | يروا۟                | 27         | 0.0327%
358    | الحمد                | 26         | 0.0315%
359    | هدۭي                 | 26         | 0.0315%
360    | معكم                 | 26         | 0.0315%
361    | قديرۭ                | 26         | 0.0315%
362    | الزكوه               | 26         | 0.0315%
363    | بانهم                | 26         | 0.0315%
364    | ومنهم                | 26         | 0.0315%
365    | فضلهۦ                | 26         | 0.0315%
366    | الهدي                | 26         | 0.0315%
367    | والنهار              | 26         | 0.0315%
368    | ذكر                  | 26         | 0.0315%
369    | فسوف                 | 26         | 0.0315%
370    | مبينۢ                | 26         | 0.0315%
371    | قومهۦ                | 26         | 0.0315%
372    | واو۟لئك              | 25         | 0.0303%
373    | نفسۢ                 | 25         | 0.0303%
374    | ءايتهۦ               | 25         | 0.0303%
375    | جاءكم                | 25         | 0.0303%
376    | انزلنا               | 25         | 0.0303%
377    | ذو                   | 25         | 0.0303%
378    | امهۭ                 | 25         | 0.0303%
379    | ينظرون               | 25         | 0.0303%
380    | مبين                 | 25         | 0.0303%
381    | تكون                 | 25         | 0.0303%
382    | النهار               | 25         | 0.0303%
383    | قومۭا                | 25         | 0.0303%
384    | لكل                  | 25         | 0.0303%
385    | قومۭ                 | 25         | 0.0303%
386    | خلدون                | 24         | 0.0291%
387    | عنها                 | 24         | 0.0291%
388    | تعقلون               | 24         | 0.0291%
389    | عنكم                 | 24         | 0.0291%
390    | يموسي                | 24         | 0.0291%
391    | بالبينت              | 24         | 0.0291%
392    | المشركين             | 24         | 0.0291%
393    | فيما                 | 24         | 0.0291%
394    | اذۭا                 | 24         | 0.0291%
395    | النساء               | 24         | 0.0291%
396    | الظلمون              | 24         | 0.0291%
397    | ولولا                | 24         | 0.0291%
398    | المرسلين             | 24         | 0.0291%
399    | كذب                  | 24         | 0.0291%
400    | الجبال               | 24         | 0.0291%
401    | عظيمۭ                | 23         | 0.0279%
402    | للكفرين              | 23         | 0.0279%
403    | هذه                  | 23         | 0.0279%
404    | البحر                | 23         | 0.0279%
405    | واليوم               | 23         | 0.0279%
406    | باذن                 | 23         | 0.0279%
407    | تولوا۟               | 23         | 0.0279%
408    | الجحيم               | 23         | 0.0279%
409    | المصير               | 23         | 0.0279%
410    | الحرام               | 23         | 0.0279%
411    | جناح                 | 23         | 0.0279%
412    | اجمعين               | 23         | 0.0279%
413    | المتقين              | 23         | 0.0279%
414    | وحدهۭ                | 23         | 0.0279%
415    | ورسولهۦ              | 23         | 0.0279%
416    | عذابۭا               | 23         | 0.0279%
417    | ضللۢ                 | 23         | 0.0279%
418    | هذهۦ                 | 23         | 0.0279%
419    | فهل                  | 23         | 0.0279%
420    | يرجعون               | 22         | 0.0267%
421    | ماءۭ                 | 22         | 0.0267%
422    | ولن                  | 22         | 0.0267%
423    | ماذا                 | 22         | 0.0267%
424    | ۘ                    | 22         | 0.0267%
425    | ءال                  | 22         | 0.0267%
426    | فلن                  | 22         | 0.0267%
427    | بلي                  | 22         | 0.0267%
428    | ياتي                 | 22         | 0.0267%
429    | يعقلون               | 22         | 0.0267%
430    | نزل                  | 22         | 0.0267%
431    | واليه                | 22         | 0.0267%
432    | المؤمنون             | 22         | 0.0267%
433    | المبين               | 22         | 0.0267%
434    | يشعرون               | 21         | 0.0255%
435    | تكونوا۟              | 21         | 0.0255%
436    | بالءاخره             | 21         | 0.0255%
437    | ايمنكم               | 21         | 0.0255%
438    | ورحمهۭ               | 21         | 0.0255%
439    | حكيمۭ                | 21         | 0.0255%
440    | يؤمن                 | 21         | 0.0255%
441    | وقل                  | 21         | 0.0255%
442    | ايمنهم               | 21         | 0.0255%
443    | وكفي                 | 21         | 0.0255%
444    | ابدۭا                | 21         | 0.0255%
445    | عسي                  | 21         | 0.0255%
446    | اتخذوا۟              | 21         | 0.0255%
447    | الفلك                | 21         | 0.0255%
448    | خلقنا                | 21         | 0.0255%
449    | نذيرۭ                | 21         | 0.0255%
450    | رحمهۭ                | 21         | 0.0255%
451    | يوسف                 | 21         | 0.0255%
452    | ينفقون               | 20         | 0.0243%
453    | بعضكم                | 20         | 0.0243%
454    | يبني                 | 20         | 0.0243%
455    | اول                  | 20         | 0.0243%
456    | ءاتينا               | 20         | 0.0243%
457    | يسمعون               | 20         | 0.0243%
458    | تعبدون               | 20         | 0.0243%
459    | كفر                  | 20         | 0.0243%
460    | رسولۭا               | 20         | 0.0243%
461    | شديد                 | 20         | 0.0243%
462    | اليم                 | 20         | 0.0243%
463    | بالمعروف             | 20         | 0.0243%
464    | شيا                  | 20         | 0.0243%
465    | لءايهۭ               | 20         | 0.0243%
466    | امولهم               | 20         | 0.0243%
467    | تكن                  | 20         | 0.0243%
468    | اخاف                 | 20         | 0.0243%
469    | جنت                  | 20         | 0.0243%
470    | تدعون                | 20         | 0.0243%
471    | الشمس                | 20         | 0.0243%
472    | نجزي                 | 20         | 0.0243%
473    | والقمر               | 20         | 0.0243%
474    | عملوا۟               | 20         | 0.0243%
475    | العرش                | 20         | 0.0243%
476    | تتقون                | 19         | 0.0230%
477    | ترجعون               | 19         | 0.0230%
478    | ولكم                 | 19         | 0.0230%
479    | سوء                  | 19         | 0.0230%
480    | بعدهۦ                | 19         | 0.0230%
481    | تشكرون               | 19         | 0.0230%
482    | انها                 | 19         | 0.0230%
483    | عبادهۦ               | 19         | 0.0230%
484    | كلۭ                  | 19         | 0.0230%
485    | السميع               | 19         | 0.0230%
486    | الصلحين              | 19         | 0.0230%
487    | الينا                | 19         | 0.0230%
488    | عندهۥ                | 19         | 0.0230%
489    | صرطۢ                 | 19         | 0.0230%
490    | مستقيمۢ              | 19         | 0.0230%
491    | حرم                  | 19         | 0.0230%
492    | البر                 | 19         | 0.0230%
493    | اكبر                 | 19         | 0.0230%
494    | والءاخره             | 19         | 0.0230%
495    | الذكر                | 19         | 0.0230%
496    | سبيلۭا               | 19         | 0.0230%
497    | غفورۭا               | 19         | 0.0230%
498    | ذي                   | 19         | 0.0230%
499    | تري                  | 19         | 0.0230%
500    | المجرمين             | 19         | 0.0230%
501    | الجن                 | 19         | 0.0230%
502    | يشركون               | 19         | 0.0230%
503    | للمتقين              | 18         | 0.0218%
504    | سواء                 | 18         | 0.0218%
505    | خلقكم                | 18         | 0.0218%
506    | قبلكم                | 18         | 0.0218%
507    | اراد                 | 18         | 0.0218%
508    | عدوۭ                 | 18         | 0.0218%
509    | واني                 | 18         | 0.0218%
510    | فتنهۭ                | 18         | 0.0218%
511    | ضل                   | 18         | 0.0218%
512    | يتقون                | 18         | 0.0218%
513    | واعلموا۟             | 18         | 0.0218%
514    | حكيم                 | 18         | 0.0218%
515    | جاءتهم               | 18         | 0.0218%
516    | الرسل                | 18         | 0.0218%
517    | فقل                  | 18         | 0.0218%
518    | يفترون               | 18         | 0.0218%
519    | لهو                  | 18         | 0.0218%
520    | يغفر                 | 18         | 0.0218%
521    | فقالوا۟              | 18         | 0.0218%
522    | نوحۢ                 | 18         | 0.0218%
523    | يوحي                 | 18         | 0.0218%
524    | نشاء                 | 18         | 0.0218%
525    | اظلم                 | 17         | 0.0206%
526    | اعبدوا۟              | 17         | 0.0206%
527    | فاتقوا۟              | 17         | 0.0206%
528    | يضل                  | 17         | 0.0206%
529    | يخرج                 | 17         | 0.0206%
530    | يبين                 | 17         | 0.0206%
531    | الماء                | 17         | 0.0206%
532    | حسنۭا                | 17         | 0.0206%
533    | يفعل                 | 17         | 0.0206%
534    | ينزل                 | 17         | 0.0206%
535    | فانهۥ                | 17         | 0.0206%
536    | يديه                 | 17         | 0.0206%
537    | يحكم                 | 17         | 0.0206%
538    | اتخذ                 | 17         | 0.0206%
539    | المسجد               | 17         | 0.0206%
540    | الريح                | 17         | 0.0206%
541    | بان                  | 17         | 0.0206%
542    | فاني                 | 17         | 0.0206%
543    | عزيز                 | 17         | 0.0206%
544    | بعدهم                | 17         | 0.0206%
545    | مسمۭي                | 17         | 0.0206%
546    | تجد                  | 17         | 0.0206%
547    | بيننا                | 17         | 0.0206%
548    | وجوههم               | 17         | 0.0206%
549    | افمن                 | 17         | 0.0206%
550    | اتبع                 | 17         | 0.0206%
551    | عظيمۭا               | 17         | 0.0206%
552    | الكفرون              | 17         | 0.0206%
553    | الصدقين              | 17         | 0.0206%
554    | القري                | 17         | 0.0206%
555    | اما                  | 17         | 0.0206%
556    | تذكرون               | 17         | 0.0206%
557    | الخلق                | 17         | 0.0206%
558    | ذات                  | 17         | 0.0206%
559    | نارۭا                | 16         | 0.0194%
560    | وانهم                | 16         | 0.0194%
561    | الموتي               | 16         | 0.0194%
562    | فلم                  | 16         | 0.0194%
563    | سمعنا                | 16         | 0.0194%
564    | قدمت                 | 16         | 0.0194%
565    | قضي                  | 16         | 0.0194%
566    | ءاتينهم              | 16         | 0.0194%
567    | حق                   | 16         | 0.0194%
568    | فيهم                 | 16         | 0.0194%
569    | كسبت                 | 16         | 0.0194%
570    | الالبب               | 16         | 0.0194%
571    | سميع                 | 16         | 0.0194%
572    | العقاب               | 16         | 0.0194%
573    | حسنهۭ                | 16         | 0.0194%
574    | الحساب               | 16         | 0.0194%
575    | ذا                   | 16         | 0.0194%
576    | فكيف                 | 16         | 0.0194%
577    | وانا۠                | 16         | 0.0194%
578    | تتلي                 | 16         | 0.0194%
579    | الصدور               | 16         | 0.0194%
580    | امرنا                | 16         | 0.0194%
581    | الفوز                | 16         | 0.0194%
582    | رحيمۭا               | 16         | 0.0194%
583    | اهلها                | 16         | 0.0194%
584    | تاتيهم               | 16         | 0.0194%
585    | اهلكنا               | 16         | 0.0194%
586    | كذبت                 | 16         | 0.0194%
587    | وكنا                 | 16         | 0.0194%
588    | ريب                  | 15         | 0.0182%
589    | ونحن                 | 15         | 0.0182%
590    | ءادم                 | 15         | 0.0182%
591    | وءاتوا۟              | 15         | 0.0182%
592    | كلوا۟                | 15         | 0.0182%
593    | وهدۭي                | 15         | 0.0182%
594    | للمؤمنين             | 15         | 0.0182%
595    | بينتۢ                | 15         | 0.0182%
596    | يكفر                 | 15         | 0.0182%
597    | تقولوا۟              | 15         | 0.0182%
598    | امرۭا                | 15         | 0.0182%
599    | ابرهۦم               | 15         | 0.0182%
600    | وبئس                 | 15         | 0.0182%
601    | خلت                  | 15         | 0.0182%
602    | الهۭ                 | 15         | 0.0182%
603    | كسبوا۟               | 15         | 0.0182%
604    | ياتيهم               | 15         | 0.0182%
605    | قولۭا                | 15         | 0.0182%
606    | الملا                | 15         | 0.0182%
607    | يستطيعون             | 15         | 0.0182%
608    | اجلۢ                 | 15         | 0.0182%
609    | التوريه              | 15         | 0.0182%
610    | واذكر                | 15         | 0.0182%
611    | بشرۭ                 | 15         | 0.0182%
612    | فوق                  | 15         | 0.0182%
613    | وهذا                 | 15         | 0.0182%
614    | نفسهۦ                | 15         | 0.0182%
615    | افتري                | 15         | 0.0182%
616    | وقيل                 | 15         | 0.0182%
617    | يجعل                 | 15         | 0.0182%
618    | كبيرۭا               | 15         | 0.0182%
619    | ملكت                 | 15         | 0.0182%
620    | عذابا                | 15         | 0.0182%
621    | اجرا                 | 15         | 0.0182%
622    | المنفقين             | 15         | 0.0182%
623    | ليقولن               | 15         | 0.0182%
624    | اخري                 | 15         | 0.0182%
625    | احدۭا                | 15         | 0.0182%
626    | رسلنا                | 15         | 0.0182%
627    | علمۢ                 | 15         | 0.0182%
628    | قريه                 | 15         | 0.0182%
629    | كفرون                | 15         | 0.0182%
630    | والذي                | 15         | 0.0182%
631    | ۩                    | 15         | 0.0182%
632    | مثلۭا                | 14         | 0.0170%
633    | بهذا                 | 14         | 0.0170%
634    | قلنا                 | 14         | 0.0170%
635    | خوف                  | 14         | 0.0170%
636    | ادخلوا۟              | 14         | 0.0170%
637    | قلوبكم               | 14         | 0.0170%
638    | يكسبون               | 14         | 0.0170%
639    | معرضون               | 14         | 0.0170%
640    | معهم                 | 14         | 0.0170%
641    | خيرۢ                 | 14         | 0.0170%
642    | الفضل                | 14         | 0.0170%
643    | سبحنهۥ               | 14         | 0.0170%
644    | مسلمون               | 14         | 0.0170%
645    | اوتي                 | 14         | 0.0170%
646    | اين                  | 14         | 0.0170%
647    | والملئكه             | 14         | 0.0170%
648    | ايامۢ                | 14         | 0.0170%
649    | الظلمت               | 14         | 0.0170%
650    | بالقسط               | 14         | 0.0170%
651    | يخلق                 | 14         | 0.0170%
652    | الكذب                | 14         | 0.0170%
653    | كتبۢ                 | 14         | 0.0170%
654    | واطيعوا۟             | 14         | 0.0170%
655    | يرد                  | 14         | 0.0170%
656    | عندنا                | 14         | 0.0170%
657    | عمل                  | 14         | 0.0170%
658    | عليما                | 14         | 0.0170%
659    | حكيمۭا               | 14         | 0.0170%
660    | السوء                | 14         | 0.0170%
661    | السيات               | 14         | 0.0170%
662    | الانعم               | 14         | 0.0170%
663    | شكۢ                  | 14         | 0.0170%
664    | اوحينا               | 14         | 0.0170%
665    | اسم                  | 14         | 0.0170%
666    | حين                  | 14         | 0.0170%
667    | سحرۭ                 | 14         | 0.0170%
