surah_index,surah_name_en,surah_name_ar,verse_index,text_rasm,text_normalized,abjad_value,juz_index,revelation_place,revelation_type,page_number
2,al-Baqarah,البقرة,9,يُخَٰدِعُونَ ٱللَّهَ وَٱلَّذِينَ ءَامَنُوا۟ وَمَا يَخْدَعُونَ إِلَّآ أَنفُسَهُمْ وَمَا يَشْعُرُونَ,يخدعون الله والذين ءامنوا۟ وما يخدعون الا انفسهم وما يشعرون,3440,1.0,Medina,Madaniyah,2
2,al-Baqarah,البقرة,10,فِى قُلُوبِهِم مَّرَضٌۭ فَزَادَهُمُ ٱللَّهُ مَرَضًۭا ۖ وَلَهُمْ عَذَابٌ أَلِيمٌۢ بِمَا كَانُوا۟ يَكْذِبُونَ,في قلوبهم مرضۭ فزادهم الله مرضۭا ۖ ولهم عذاب اليمۢ بما كانوا۟ يكذبون,4401,1.0,Medina,Madaniyah,2
2,al-Baqarah,البقرة,11,وَإِذَا قِيلَ لَهُمْ لَا تُفْسِدُوا۟ فِى ٱلْأَرْضِ قَالُوٓا۟ إِنَّمَا نَحْنُ مُصْلِحُونَ,واذا قيل لهم لا تفسدوا۟ في الارض قالوا۟ انما نحن مصلحون,3189,1.0,Medina,Madaniyah,2
2,al-Baqarah,البقرة,12,أَلَآ إِنَّهُمْ هُمُ ٱلْمُفْسِدُونَ وَلَٰكِن لَّا يَشْعُرُونَ,الا انهم هم المفسدون ولكن لا يشعرون,1217,1.0,Medina,Madaniyah,2
2,al-Baqarah,البقرة,13,وَإِذَا قِيلَ لَهُمْ ءَامِنُوا۟ كَمَآ ءَامَنَ ٱلنَّاسُ قَالُوٓا۟ أَنُؤْمِنُ كَمَآ ءَامَنَ ٱلسُّفَهَآءُ ۗ أَلَآ إِنَّهُمْ هُمُ ٱلسُّفَهَآءُ وَلَٰكِن لَّا يَعْلَمُونَ,واذا قيل لهم ءامنوا۟ كما ءامن الناس قالوا۟ انؤمن كما ءامن السفهاء ۗ الا انهم هم السفهاء ولكن لا يعلمون,2621,1.0,Medina,Madaniyah,2
2,al-Baqarah,البقرة,14,وَإِذَا لَقُوا۟ ٱلَّذِينَ ءَامَنُوا۟ قَالُوٓا۟ ءَامَنَّا وَإِذَا خَلَوْا۟ إِلَىٰ شَيَٰطِينِهِمْ قَالُوٓا۟ إِنَّا مَعَكُمْ إِنَّمَا نَحْنُ مُسْتَهْزِءُونَ,واذا لقوا۟ الذين ءامنوا۟ قالوا۟ ءامنا واذا خلوا۟ الي شيطينهم قالوا۟ انا معكم انما نحن مستهزءون,4905,1.0,Medina,Madaniyah,2
2,al-Baqarah,البقرة,15,ٱللَّهُ يَسْتَهْزِئُ بِهِمْ وَيَمُدُّهُمْ فِى طُغْيَٰنِهِمْ يَعْمَهُونَ,الله يستهزئ بهم ويمدهم في طغينهم يعمهون,2085,1.0,Medina,Madaniyah,2
2,al-Baqarah,البقرة,16,أُو۟لَٰٓئِكَ ٱلَّذِينَ ٱشْتَرَوُا۟ ٱلضَّلَٰلَةَ بِٱلْهُدَىٰ فَمَا رَبِحَت تِّجَٰرَتُهُمْ وَمَا كَانُوا۟ مُهْتَدِينَ,او۟لئك الذين اشتروا۟ الضلله بالهدي فما ربحت تجرتهم وما كانوا۟ مهتدين,5117,1.0,Medina,Madaniyah,2
2,al-Baqarah,البقرة,17,مَثَلُهُمْ كَمَثَلِ ٱلَّذِى ٱسْتَوْقَدَ نَارًۭا فَلَمَّآ أَضَآءَتْ مَا حَوْلَهُۥ ذَهَبَ ٱللَّهُ بِنُورِهِمْ وَتَرَكَهُمْ فِى ظُلُمَٰتٍۢ لَّا يُبْصِرُونَ,مثلهم كمثل الذي استوقد نارۭا فلما اضاءت ما حولهۥ ذهب الله بنورهم وتركهم في ظلمتۢ لا يبصرون,7809,1.0,Medina,Madaniyah,2
2,al-Baqarah,البقرة,18,صُمٌّۢ بُكْمٌ عُمْىٌۭ فَهُمْ لَا يَرْجِعُونَ,صمۢ بكم عميۭ فهم لا يرجعون,807,1.0,Medina,Madaniyah,2
2,al-Baqarah,البقرة,19,أَوْ كَصَيِّبٍۢ مِّنَ ٱلسَّمَآءِ فِيهِ ظُلُمَٰتٌۭ وَرَعْدٌۭ وَبَرْقٌۭ يَجْعَلُونَ أَصَٰبِعَهُمْ فِىٓ ءَاذَانِهِم مِّنَ ٱلصَّوَٰعِقِ حَذَرَ ٱلْمَوْتِ ۚ وَٱللَّهُ مُحِيطٌۢ بِٱلْكَٰفِرِينَ,او كصيبۢ من السماء فيه ظلمتۭ ورعدۭ وبرقۭ يجعلون اصبعهم في ءاذانهم من الصوعق حذر الموت ۚ والله محيطۢ بالكفرين,5974,1.0,Medina,Madaniyah,2
2,al-Baqarah,البقرة,20,يَكَادُ ٱلْبَرْقُ يَخْطَفُ أَبْصَٰرَهُمْ ۖ كُلَّمَآ أَضَآءَ لَهُم مَّشَوْا۟ فِيهِ وَإِذَآ أَظْلَمَ عَلَيْهِمْ قَامُوا۟ ۚ وَلَوْ شَآءَ ٱللَّهُ لَذَهَبَ بِسَمْعِهِمْ وَأَبْصَٰرِهِمْ ۚ إِنَّ ٱللَّهَ عَلَىٰ كُلِّ شَىْءٍۢ قَدِيرٌۭ,يكاد البرق يخطف ابصرهم ۖ كلما اضاء لهم مشوا۟ فيه واذا اظلم عليهم قاموا۟ ۚ ولو شاء الله لذهب بسمعهم وابصرهم ۚ ان الله علي كل شيءۢ قديرۭ,7408,1.0,Medina,Madaniyah,2
2,al-Baqarah,البقرة,21,يَٰٓأَيُّهَا ٱلنَّاسُ ٱعْبُدُوا۟ رَبَّكُمُ ٱلَّذِى خَلَقَكُمْ وَٱلَّذِينَ مِن قَبْلِكُمْ لَعَلَّكُمْ تَتَّقُونَ,يايها الناس اعبدوا۟ ربكم الذي خلقكم والذين من قبلكم لعلكم تتقون,4271,1.0,Medina,Madaniyah,2
2,al-Baqarah,البقرة,22,ٱلَّذِى جَعَلَ لَكُمُ ٱلْأَرْضَ فِرَٰشًۭا وَٱلسَّمَآءَ بِنَآءًۭ وَأَنزَلَ مِنَ ٱلسَّمَآءِ مَآءًۭ فَأَخْرَجَ بِهِۦ مِنَ ٱلثَّمَرَٰتِ رِزْقًۭا لَّكُمْ ۖ فَلَا تَجْعَلُوا۟ لِلَّهِ أَندَادًۭا وَأَنتُمْ تَعْلَمُونَ,الذي جعل لكم الارض فرشۭا والسماء بناءۭ وانزل من السماء ماءۭ فاخرج بهۦ من الثمرت رزقۭا لكم ۖ فلا تجعلوا۟ لله اندادۭا وانتم تعلمون,7489,1.0,Medina,Madaniyah,2
2,al-Baqarah,البقرة,23,وَإِن كُنتُمْ فِى رَيْبٍۢ مِّمَّا نَزَّلْنَا عَلَىٰ عَبْدِنَا فَأْتُوا۟ بِسُورَةٍۢ مِّن مِّثْلِهِۦ وَٱدْعُوا۟ شُهَدَآءَكُم مِّن دُونِ ٱللَّهِ إِن كُنتُمْ صَٰدِقِينَ,وان كنتم في ريبۢ مما نزلنا علي عبدنا فاتوا۟ بسورهۢ من مثلهۦ وادعوا۟ شهداءكم من دون الله ان كنتم صدقين,4241,1.0,Medina,Madaniyah,2
2,al-Baqarah,البقرة,24,فَإِن لَّمْ تَفْعَلُوا۟ وَلَن تَفْعَلُوا۟ فَٱتَّقُوا۟ ٱلنَّارَ ٱلَّتِى وَقُودُهَا ٱلنَّاسُ وَٱلْحِجَارَةُ ۖ أُعِدَّتْ لِلْكَٰفِرِينَ,فان لم تفعلوا۟ ولن تفعلوا۟ فاتقوا۟ النار التي وقودها الناس والحجاره ۖ اعدت للكفرين,4185,1.0,Medina,Madaniyah,2
2,al-Baqarah,البقرة,25,وَبَشِّرِ ٱلَّذِينَ ءَامَنُوا۟ وَعَمِلُوا۟ ٱلصَّٰلِحَٰتِ أَنَّ لَهُمْ جَنَّٰتٍۢ تَجْرِى مِن تَحْتِهَا ٱلْأَنْهَٰرُ ۖ كُلَّمَا رُزِقُوا۟ مِنْهَا مِن ثَمَرَةٍۢ رِّزْقًۭا ۙ قَالُوا۟ هَٰذَا ٱلَّذِى رُزِقْنَا مِن قَبْلُ ۖ وَأُتُوا۟ بِهِۦ مُتَشَٰبِهًۭا ۖ وَلَهُمْ فِيهَآ أَزْوَٰجٌۭ مُّطَهَّرَةٌۭ ۖ وَهُمْ فِيهَا خَٰلِدُونَ,وبشر الذين ءامنوا۟ وعملوا۟ الصلحت ان لهم جنتۢ تجري من تحتها الانهر ۖ كلما رزقوا۟ منها من ثمرهۢ رزقۭا ۙ قالوا۟ هذا الذي رزقنا من قبل ۖ واتوا۟ بهۦ متشبهۭا ۖ ولهم فيها ازوجۭ مطهرهۭ ۖ وهم فيها خلدون,10761,1.0,Medina,Madaniyah,2
2,al-Baqarah,البقرة,26,۞ إِنَّ ٱللَّهَ لَا يَسْتَحْىِۦٓ أَن يَضْرِبَ مَثَلًۭا مَّا بَعُوضَةًۭ فَمَا فَوْقَهَا ۚ فَأَمَّا ٱلَّذِينَ ءَامَنُوا۟ فَيَعْلَمُونَ أَنَّهُ ٱلْحَقُّ مِن رَّبِّهِمْ ۖ وَأَمَّا ٱلَّذِينَ كَفَرُوا۟ فَيَقُولُونَ مَاذَآ أَرَادَ ٱللَّهُ بِهَٰذَا مَثَلًۭا ۘ يُضِلُّ بِهِۦ كَثِيرًۭا وَيَهْدِى بِهِۦ كَثِيرًۭا ۚ وَمَا يُضِلُّ بِهِۦٓ إِلَّا ٱلْفَٰسِقِينَ,۞ ان الله لا يستحيۦ ان يضرب مثلۭا ما بعوضهۭ فما فوقها ۚ فاما الذين ءامنوا۟ فيعلمون انه الحق من ربهم ۖ واما الذين كفروا۟ فيقولون ماذا اراد الله بهذا مثلۭا ۘ يضل بهۦ كثيرۭا ويهدي بهۦ كثيرۭا ۚ وما يضل بهۦ الا الفسقين,12666,1.0,Medina,Madaniyah,2
2,al-Baqarah,البقرة,27,ٱلَّذِينَ يَنقُضُونَ عَهْدَ ٱللَّهِ مِنۢ بَعْدِ مِيثَٰقِهِۦ وَيَقْطَعُونَ مَآ أَمَرَ ٱللَّهُ بِهِۦٓ أَن يُوصَلَ وَيُفْسِدُونَ فِى ٱلْأَرْضِ ۚ أُو۟لَٰٓئِكَ هُمُ ٱلْخَٰسِرُونَ,الذين ينقضون عهد الله منۢ بعد ميثقهۦ ويقطعون ما امر الله بهۦ ان يوصل ويفسدون في الارض ۚ او۟لئك هم الخسرون,5953,1.0,Medina,Madaniyah,2
2,al-Baqarah,البقرة,28,كَيْفَ تَكْفُرُونَ بِٱللَّهِ وَكُنتُمْ أَمْوَٰتًۭا فَأَحْيَٰكُمْ ۖ ثُمَّ يُمِيتُكُمْ ثُمَّ يُحْيِيكُمْ ثُمَّ إِلَيْهِ تُرْجَعُونَ,كيف تكفرون بالله وكنتم اموتۭا فاحيكم ۖ ثم يميتكم ثم يحييكم ثم اليه ترجعون,5070,1.0,Medina,Madaniyah,2
2,al-Baqarah,البقرة,29,هُوَ ٱلَّذِى خَلَقَ لَكُم مَّا فِى ٱلْأَرْضِ جَمِيعًۭا ثُمَّ ٱسْتَوَىٰٓ إِلَى ٱلسَّمَآءِ فَسَوَّىٰهُنَّ سَبْعَ سَمَٰوَٰتٍۢ ۚ وَهُوَ بِكُلِّ شَىْءٍ عَلِيمٌۭ,هو الذي خلق لكم ما في الارض جميعۭا ثم استوي الي السماء فسويهن سبع سموتۢ ۚ وهو بكل شيء عليمۭ,5429,1.0,Medina,Madaniyah,2
2,al-Baqarah,البقرة,30,وَإِذْ قَالَ رَبُّكَ لِلْمَلَٰٓئِكَةِ إِنِّى جَاعِلٌۭ فِى ٱلْأَرْضِ خَلِيفَةًۭ ۖ قَالُوٓا۟ أَتَجْعَلُ فِيهَا مَن يُفْسِدُ فِيهَا وَيَسْفِكُ ٱلدِّمَآءَ وَنَحْنُ نُسَبِّحُ بِحَمْدِكَ وَنُقَدِّسُ لَكَ ۖ قَالَ إِنِّىٓ أَعْلَمُ مَا لَا تَعْلَمُونَ,واذ قال ربك للملئكه اني جاعلۭ في الارض خليفهۭ ۖ قالوا۟ اتجعل فيها من يفسد فيها ويسفك الدماء ونحن نسبح بحمدك ونقدس لك ۖ قال اني اعلم ما لا تعلمون,6137,1.0,Medina,Madaniyah,2
2,al-Baqarah,البقرة,31,وَعَلَّمَ ءَادَمَ ٱلْأَسْمَآءَ كُلَّهَا ثُمَّ عَرَضَهُمْ عَلَى ٱلْمَلَٰٓئِكَةِ فَقَالَ أَنۢبِـُٔونِى بِأَسْمَآءِ هَٰٓؤُلَآءِ إِن كُنتُمْ صَٰدِقِينَ,وعلم ءادم الاسماء كلها ثم عرضهم علي الملئكه فقال انۢبوني باسماء هؤلاء ان كنتم صدقين,3560,1.0,Medina,Madaniyah,2
2,al-Baqarah,البقرة,32,قَالُوا۟ سُبْحَٰنَكَ لَا عِلْمَ لَنَآ إِلَّا مَا عَلَّمْتَنَآ ۖ إِنَّكَ أَنتَ ٱلْعَلِيمُ ٱلْحَكِيمُ,قالوا۟ سبحنك لا علم لنا الا ما علمتنا ۖ انك انت العليم الحكيم,2006,1.0,Medina,Madaniyah,2
2,al-Baqarah,البقرة,33,قَالَ يَٰٓـَٔادَمُ أَنۢبِئْهُم بِأَسْمَآئِهِمْ ۖ فَلَمَّآ أَنۢبَأَهُم بِأَسْمَآئِهِمْ قَالَ أَلَمْ أَقُل لَّكُمْ إِنِّىٓ أَعْلَمُ غَيْبَ ٱلسَّمَٰوَٰتِ وَٱلْأَرْضِ وَأَعْلَمُ مَا تُبْدُونَ وَمَا كُنتُمْ تَكْتُمُونَ,قال يادم انۢبئهم باسمائهم ۖ فلما انۢباهم باسمائهم قال الم اقل لكم اني اعلم غيب السموت والارض واعلم ما تبدون وما كنتم تكتمون,6167,1.0,Medina,Madaniyah,2
2,al-Baqarah,البقرة,34,وَإِذْ قُلْنَا لِلْمَلَٰٓئِكَةِ ٱسْجُدُوا۟ لِءَادَمَ فَسَجَدُوٓا۟ إِلَّآ إِبْلِيسَ أَبَىٰ وَٱسْتَكْبَرَ وَكَانَ مِنَ ٱلْكَٰفِرِينَ,واذ قلنا للملئكه اسجدوا۟ لءادم فسجدوا۟ الا ابليس ابي واستكبر وكان من الكفرين,2743,1.0,Medina,Madaniyah,2
2,al-Baqarah,البقرة,35,وَقُلْنَا يَٰٓـَٔادَمُ ٱسْكُنْ أَنتَ وَزَوْجُكَ ٱلْجَنَّةَ وَكُلَا مِنْهَا رَغَدًا حَيْثُ شِئْتُمَا وَلَا تَقْرَبَا هَٰذِهِ ٱلشَّجَرَةَ فَتَكُونَا مِنَ ٱلظَّٰلِمِينَ,وقلنا يادم اسكن انت وزوجك الجنه وكلا منها رغدا حيث شئتما ولا تقربا هذه الشجره فتكونا من الظلمين,7269,1.0,Medina,Madaniyah,2
2,al-Baqarah,البقرة,36,فَأَزَلَّهُمَا ٱلشَّيْطَٰنُ عَنْهَا فَأَخْرَجَهُمَا مِمَّا كَانَا فِيهِ ۖ وَقُلْنَا ٱهْبِطُوا۟ بَعْضُكُمْ لِبَعْضٍ عَدُوٌّۭ ۖ وَلَكُمْ فِى ٱلْأَرْضِ مُسْتَقَرٌّۭ وَمَتَٰعٌ إِلَىٰ حِينٍۢ,فازلهما الشيطن عنها فاخرجهما مما كانا فيه ۖ وقلنا اهبطوا۟ بعضكم لبعض عدوۭ ۖ ولكم في الارض مستقرۭ ومتع الي حينۢ,6636,1.0,Medina,Madaniyah,2
2,al-Baqarah,البقرة,37,فَتَلَقَّىٰٓ ءَادَمُ مِن رَّبِّهِۦ كَلِمَٰتٍۢ فَتَابَ عَلَيْهِ ۚ إِنَّهُۥ هُوَ ٱلتَّوَّابُ ٱلرَّحِيمُ,فتلقي ءادم من ربهۦ كلمتۢ فتاب عليه ۚ انهۥ هو التواب الرحيم,2847,1.0,Medina,Madaniyah,2
2,al-Baqarah,البقرة,38,قُلْنَا ٱهْبِطُوا۟ مِنْهَا جَمِيعًۭا ۖ فَإِمَّا يَأْتِيَنَّكُم مِّنِّى هُدًۭى فَمَن تَبِعَ هُدَاىَ فَلَا خَوْفٌ عَلَيْهِمْ وَلَا هُمْ يَحْزَنُونَ,قلنا اهبطوا۟ منها جميعۭا ۖ فاما ياتينكم مني هدۭي فمن تبع هداي فلا خوف عليهم ولا هم يحزنون,3024,1.0,Medina,Madaniyah,2
2,al-Baqarah,البقرة,39,وَٱلَّذِينَ كَفَرُوا۟ وَكَذَّبُوا۟ بِـَٔايَٰتِنَآ أُو۟لَٰٓئِكَ أَصْحَٰبُ ٱلنَّارِ ۖ هُمْ فِيهَا خَٰلِدُونَ,والذين كفروا۟ وكذبوا۟ بايتنا او۟لئك اصحب النار ۖ هم فيها خلدون,3574,1.0,Medina,Madaniyah,2
2,al-Baqarah,البقرة,40,يَٰبَنِىٓ إِسْرَٰٓءِيلَ ٱذْكُرُوا۟ نِعْمَتِىَ ٱلَّتِىٓ أَنْعَمْتُ عَلَيْكُمْ وَأَوْفُوا۟ بِعَهْدِىٓ أُوفِ بِعَهْدِكُمْ وَإِيَّٰىَ فَٱرْهَبُونِ,يبني اسرءيل اذكروا۟ نعمتي التي انعمت عليكم واوفوا۟ بعهدي اوف بعهدكم وايي فارهبون,3834,1.0,Medina,Madaniyah,2
2,al-Baqarah,البقرة,41,وَءَامِنُوا۟ بِمَآ أَنزَلْتُ مُصَدِّقًۭا لِّمَا مَعَكُمْ وَلَا تَكُونُوٓا۟ أَوَّلَ كَافِرٍۭ بِهِۦ ۖ وَلَا تَشْتَرُوا۟ بِـَٔايَٰتِى ثَمَنًۭا قَلِيلًۭا وَإِيَّٰىَ فَٱتَّقُونِ,وءامنوا۟ بما انزلت مصدقۭا لما معكم ولا تكونوا۟ اول كافرۭ بهۦ ۖ ولا تشتروا۟ بايتي ثمنۭا قليلۭا وايي فاتقون,5170,1.0,Medina,Madaniyah,2
2,al-Baqarah,البقرة,42,وَلَا تَلْبِسُوا۟ ٱلْحَقَّ بِٱلْبَٰطِلِ وَتَكْتُمُوا۟ ٱلْحَقَّ وَأَنتُمْ تَعْلَمُونَ,ولا تلبسوا۟ الحق بالبطل وتكتموا۟ الحق وانتم تعلمون,2854,1.0,Medina,Madaniyah,2
2,al-Baqarah,البقرة,43,وَأَقِيمُوا۟ ٱلصَّلَوٰةَ وَءَاتُوا۟ ٱلزَّكَوٰةَ وَٱرْكَعُوا۟ مَعَ ٱلرَّٰكِعِينَ,واقيموا۟ الصلوه وءاتوا۟ الزكوه واركعوا۟ مع الركعين,1605,1.0,Medina,Madaniyah,2
2,al-Baqarah,البقرة,44,۞ أَتَأْمُرُونَ ٱلنَّاسَ بِٱلْبِرِّ وَتَنسَوْنَ أَنفُسَكُمْ وَأَنتُمْ تَتْلُونَ ٱلْكِتَٰبَ ۚ أَفَلَا تَعْقِلُونَ,۞ اتامرون الناس بالبر وتنسون انفسكم وانتم تتلون الكتب ۚ افلا تعقلون,4502,1.0,Medina,Madaniyah,2
2,al-Baqarah,البقرة,45,وَٱسْتَعِينُوا۟ بِٱلصَّبْرِ وَٱلصَّلَوٰةِ ۚ وَإِنَّهَا لَكَبِيرَةٌ إِلَّا عَلَى ٱلْخَٰشِعِينَ,واستعينوا۟ بالصبر والصلوه ۚ وانها لكبيره الا علي الخشعين,2630,1.0,Medina,Madaniyah,2
2,al-Baqarah,البقرة,46,ٱلَّذِينَ يَظُنُّونَ أَنَّهُم مُّلَٰقُوا۟ رَبِّهِمْ وَأَنَّهُمْ إِلَيْهِ رَٰجِعُونَ,الذين يظنون انهم ملقوا۟ ربهم وانهم اليه رجعون,2804,1.0,Medina,Madaniyah,2
2,al-Baqarah,البقرة,47,يَٰبَنِىٓ إِسْرَٰٓءِيلَ ٱذْكُرُوا۟ نِعْمَتِىَ ٱلَّتِىٓ أَنْعَمْتُ عَلَيْكُمْ وَأَنِّى فَضَّلْتُكُمْ عَلَى ٱلْعَٰلَمِينَ,يبني اسرءيل اذكروا۟ نعمتي التي انعمت عليكم واني فضلتكم علي العلمين,4822,1.0,Medina,Madaniyah,2
2,al-Baqarah,البقرة,48,وَٱتَّقُوا۟ يَوْمًۭا لَّا تَجْزِى نَفْسٌ عَن نَّفْسٍۢ شَيْـًۭٔا وَلَا يُقْبَلُ مِنْهَا شَفَٰعَةٌۭ وَلَا يُؤْخَذُ مِنْهَا عَدْلٌۭ وَلَا هُمْ يُنصَرُونَ,واتقوا۟ يومۭا لا تجزي نفس عن نفسۢ شيۭا ولا يقبل منها شفعهۭ ولا يؤخذ منها عدلۭ ولا هم ينصرون,4598,1.0,Medina,Madaniyah,2
2,al-Baqarah,البقرة,49,وَإِذْ نَجَّيْنَٰكُم مِّنْ ءَالِ فِرْعَوْنَ يَسُومُونَكُمْ سُوٓءَ ٱلْعَذَابِ يُذَبِّحُونَ أَبْنَآءَكُمْ وَيَسْتَحْيُونَ نِسَآءَكُمْ ۚ وَفِى ذَٰلِكُم بَلَآءٌۭ مِّن رَّبِّكُمْ عَظِيمٌۭ,واذ نجينكم من ءال فرعون يسومونكم سوء العذاب يذبحون ابناءكم ويستحيون نساءكم ۚ وفي ذلكم بلاءۭ من ربكم عظيمۭ,6416,1.0,Medina,Madaniyah,2
2,al-Baqarah,البقرة,50,وَإِذْ فَرَقْنَا بِكُمُ ٱلْبَحْرَ فَأَنجَيْنَٰكُمْ وَأَغْرَقْنَآ ءَالَ فِرْعَوْنَ وَأَنتُمْ تَنظُرُونَ,واذ فرقنا بكم البحر فانجينكم واغرقنا ءال فرعون وانتم تنظرون,5594,1.0,Medina,Madaniyah,2
2,al-Baqarah,البقرة,51,وَإِذْ وَٰعَدْنَا مُوسَىٰٓ أَرْبَعِينَ لَيْلَةًۭ ثُمَّ ٱتَّخَذْتُمُ ٱلْعِجْلَ مِنۢ بَعْدِهِۦ وَأَنتُمْ ظَٰلِمُونَ,واذ وعدنا موسي اربعين ليلهۭ ثم اتخذتم العجل منۢ بعدهۦ وانتم ظلمون,5871,1.0,Medina,Madaniyah,2
2,al-Baqarah,البقرة,52,ثُمَّ عَفَوْنَا عَنكُم مِّنۢ بَعْدِ ذَٰلِكَ لَعَلَّكُمْ تَشْكُرُونَ,ثم عفونا عنكم منۢ بعد ذلك لعلكم تشكرون,3009,1.0,Medina,Madaniyah,2
2,al-Baqarah,البقرة,53,وَإِذْ ءَاتَيْنَا مُوسَى ٱلْكِتَٰبَ وَٱلْفُرْقَانَ لَعَلَّكُمْ تَهْتَدُونَ,واذ ءاتينا موسي الكتب والفرقان لعلكم تهتدون,3262,1.0,Medina,Madaniyah,2
2,al-Baqarah,البقرة,54,وَإِذْ قَالَ مُوسَىٰ لِقَوْمِهِۦ يَٰقَوْمِ إِنَّكُمْ ظَلَمْتُمْ أَنفُسَكُم بِٱتِّخَاذِكُمُ ٱلْعِجْلَ فَتُوبُوٓا۟ إِلَىٰ بَارِئِكُمْ فَٱقْتُلُوٓا۟ أَنفُسَكُمْ ذَٰلِكُمْ خَيْرٌۭ لَّكُمْ عِندَ بَارِئِكُمْ فَتَابَ عَلَيْكُمْ ۚ إِنَّهُۥ هُوَ ٱلتَّوَّابُ ٱلرَّحِيمُ,واذ قال موسي لقومهۦ يقوم انكم ظلمتم انفسكم باتخاذكم العجل فتوبوا۟ الي بارئكم فاقتلوا۟ انفسكم ذلكم خيرۭ لكم عند بارئكم فتاب عليكم ۚ انهۥ هو التواب الرحيم,10155,1.0,Medina,Madaniyah,2
